position,channel_id,channel_title,video_id,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics
40,UCxsPqSzvygNiPQFpwYaRp_A,Through The Lens,OSw53x1iH0k,2020-09-08T10:00:04Z,2020-09-08 10:00:04,2020,9,8,"Natural hair Chat - hair types, Clicks campaign ad| South African YouTuber | Congolese YouTuber","Hey guys, Welcome back to my channel. In this week's video, I talk about different hair types, my journey to natural hair, and the products that work for me and I also rant a bit on the Clicks campaign advert that happened recently. I hope you'll enjoy the video. Don't forget to SUBSCRIBE!!! #naturalhair #everyhairisbeautiful #beyou #ownyourcrown #tipsandtricks --------------------------------------------------------------------------------------------------------------- Connect with me: Instagram: @keriikortez_ Twitter: @keriikortez -------------------------------------------------------------------------------------------------------------- Hair products that I use: Anything that has avocado oil, from the shampoo to the hair food to the spray, etc. Avocado is the girl she thinks she is!!! -------------------------------------------------------------------------------------------------------------- Hair Type Articles and quiz: https://blacknaps.org/know-your-hair-type/ www.naturallycurly.com/quiz",na,People & Blogs,Lifestyle_(sociology),1418,sd,FALSE,na,na,https://i.ytimg.com/vi/OSw53x1iH0k/maxresdefault.jpg,na,na,106,9,0,4,yes,yes,yes
41,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,dg8yOJqsoTQ,2020-09-08T15:01:12Z,2020-09-08 15:01:12,2020,9,8,Advertising Regulatory Board steps back as Clicks takes adequate action on advert,"Advertising Regulatory Board has weighed in on Clicks advert controversy. They say their primary purpose is to protect consumers. If they find an advertisement to be misleading or offensive, they will order the advertiser to remove the advertisement to prevent future harm. For more on this, we chat to ARB CEO Gail Schimmel. Tune into #DSTV channel 405 for more.",na,News & Politics,"Society,Television_program",244,hd,FALSE,en,na,https://i.ytimg.com/vi/dg8yOJqsoTQ/maxresdefault.jpg,na,na,246,2,0,2,yes,yes,yes
42,UC8yH-uI81UUtEMDsowQyx1g,SABC News,eDYwejNW9z0,2020-09-08T16:06:34Z,2020-09-08 16:06:34,2020,9,8,EFF vs Clicks Day 2 I EFF protest continues as Retail Giant takes TRESemmé products off its shelves,"The EFF has dared Retail Giant Clicks to open its doors. The party says that will be met with its supporters protesting inside the stores. Meanwhile, Clicks obtained an interim court against the EFF prohibiting any intimidation of its staff, clients and commercial interests. EFF Deputy President Floyd Shivambhu says the Interim Court order does not affect their protest across the country. At the same time, Clicks says it's taken the TRESemmé products off its shelves and accepted the resignation of a senior executive in charge of the campaign that sparked outrage. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News",News & Politics,"Society,Television_program",122,hd,FALSE,na,en,https://i.ytimg.com/vi/eDYwejNW9z0/maxresdefault.jpg,na,na,4009,33,0,20,yes,yes,yes
43,UCzhqkiDP9FSd97bVuMN0cYA,Clicks South Africa,YVH3ccoXtnU,2020-07-28T14:10:00Z,2020-07-28 14:10:00,2020,7,28,Mizani | Texture Love since 1991 | Clicks,na,na,Howto & Style,Lifestyle_(sociology),89,hd,FALSE,na,na,na,na,na,218,1,0,0,no,yes,yes
44,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,JqdoE4kKYKg,2020-09-09T07:53:16Z,2020-09-09 7:53:16,2020,9,9,Clicks senior resigns,"Health and beauty store, Clicks has found itself in a sticky situation after an ad campaign ignited outrage. The EFF is actively protesting at stores countrywide. The Cohesion Collective says that while the party's response to the matter raised issues around racism, the method used is a missed opportunity because there's been numerous incidents of violence. Courtesy #DStv403",na,News & Politics,"Politics,Society,Television_program",370,hd,FALSE,en,en,https://i.ytimg.com/vi/JqdoE4kKYKg/maxresdefault.jpg,1,na,22838,207,0,na,yes,yes,yes
46,UC2JwaStpwF9VTHQ1ai5W3vA,Lucy Marutle,fYI_khTVlus,2020-09-09T17:05:42Z,2020-09-09 17:05:42,2020,9,9,CLICKS HAIR AD!! RACISM VS CONSCIOUSNESS|LUCY MARUTLE|SOUTH AFRICAN YOUTUBER|,"The recent uproar around Clicks Beauty store publishing a hair ad that is said to be Racist has actually become a catalyst to consciousness across the collective.As a black woman who embraces natural hair,i see no reason to be emotional and attribute it to racism..We taught industries how to treat us..we need to switch around our mentality and focus on loving and accepting ourselves as the beautiful people we are.It is not about race..Duality is man made.LET US BE THE CHANGE😍 #selflove #consciousness #Black #EFF #Naturalhair",na,People & Blogs,Lifestyle_(sociology),618,hd,FALSE,na,na,na,na,na,166,12,0,2,yes,yes,yes
50,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,YUmIAd_O0U4,2020-09-11T05:34:52Z,2020-09-11 5:34:52,2020,9,11,Clicks has committed to spend more money with small businesses,"Clicks has committed to spend more money with small businesses, and support local beauty and hair brands. The beleaguered retailer met with Small Business Development Minister, Khumbudzo Ntshavheni after the offensive advert uproar. Earlier this week, the minister rejected Clicks' apology. Courtesy #DStv403",na,News & Politics,"Business,Society,Television_program",315,hd,FALSE,en,en,https://i.ytimg.com/vi/YUmIAd_O0U4/maxresdefault.jpg,1,na,910,7,0,na,yes,yes,yes
52,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,n4cwtgVmEuc,2020-09-07T07:00:27Z,2020-09-07 7:00:27,2020,9,7,EFF plans to shut down 800 Clicks stores following discriminatory hair campaign,The EFF will be embarking on a shutdown of all 800 Clicks stores following a hair campaign that showed discriminatory images of black hair juxtaposed with white hair. Is this the right approach to getting redress and transformation? Tune into Newzroom Afrika on DSTV channel 405 for more.,na,News & Politics,Society,458,hd,FALSE,en,na,https://i.ytimg.com/vi/n4cwtgVmEuc/maxresdefault.jpg,na,na,652,2,0,3,yes,yes,yes
54,UCf_tny2C600yHWOO_XJJ_rQ,Graga wa Drama,p1YSMSYcv4Y,2020-09-12T14:58:31Z,2020-09-12 14:58:31,2020,9,12,Clicks Hair Ad|Clicks Pay Back Our Money |Clicks Owes Us||2020|South African Youtuber,#RacisimMustFall #ClicksMustFall #NatualHair #OurHair #OurCrown #ClicksMustPay,na,People & Blogs,Lifestyle_(sociology),204,hd,FALSE,na,na,na,na,na,483,70,0,95,yes,yes,yes
56,UC_kcoT2uxvkBZZO8xAHvAgg,Kwame Oteng Darko,wBDrLBSdIt8,2020-09-10T16:55:52Z,2020-09-10 16:55:52,2020,9,10,CLICKS' RACIST AD IN SOUTH AFRICA; CAN WE BE ANGRY?,"Clicks has been under fire in the past few days over a racist ad post on its website. I express my opinion about why we need to change as people other than always blame the business man. Quamz Media brings to you African News in Africa and News concerning Africans. Wake Up Africa! Please Subscribe, Like and Comment! #clicksracistad #beautyracistads #quamz","Africa,Quamz,QuamzMedia,wode maya,setrosvlog,make africa great again,africa wake up,Africa unity,Donald Trump,clicks south africa,clicks racist ad,hair racist ad,wrong beauty ads,racist beauty ads,south africa,racist ad protests",People & Blogs,Society,531,hd,FALSE,na,en-GB,https://i.ytimg.com/vi/wBDrLBSdIt8/maxresdefault.jpg,na,na,593,26,0,12,yes,yes,yes
57,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,-m65KxCeiYk,2020-09-08T12:41:54Z,2020-09-08 12:41:54,2020,9,8,EFF not backing down from wanting Clicks to be held accountable,"Newzroom Afrika's Athi Mtongana is monitoring the situation at different #Clicks stores in Cape Town after the court interdict and the latest decision by Clicks to pull all TRESemmé products from its shelves. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,"Politics,Society,Television_program",646,hd,FALSE,en,na,https://i.ytimg.com/vi/-m65KxCeiYk/maxresdefault.jpg,na,na,3801,34,0,63,yes,yes,yes
58,UCir1mKgQMu5LAiCI2eFY01w,Shiro,w1yFskyg-PU,2020-09-15T14:59:03Z,2020-09-15 14:59:03,2020,9,15,clicks' hair advert goes south | shi talks,"Fellow beings! Clicks posted controversial advert and south africa didn't hold back in expressing how they felt about it. And well, i'm here to talk about it. Also... I really want this channel to grow, so please show your support. It'll costs you N$ 0.00. And I know we all love free stuff. You can do so by subscribing, liking, hitting the notification bell and even more importantly sharing it with people you know. My Social Media (emphasis on the singular 'media' cause I don't tweet or snap) https://www.instagram.com/shiro.w.mwangi/ Equipment Camera - Nikon D5300 https://www.amazon.com/Nikon-Digital-18-55mm-3-5-5-6G-Focus-S/dp/B00I1CPA0O/ref=sr_1_2?dchild=1&keywords=Nikon+D5300&qid=1595656641&s=electronics&sr=1-2 Editing - iMovie Tripod - books, keys, bottles, literally anything","shiro,shiro mwangi,clicks hair advert,clicks hair advert tresemme,Tresemme adver,tresemme advert south africa,tresemme advert clicks,tresemme advert 2020 south africa,clicks advert south africa,clicks advert eff,clicks advert on black hair,clicks advert about natural hair,clicks advert gone wrong",Howto & Style,Lifestyle_(sociology),522,hd,FALSE,na,en,https://i.ytimg.com/vi/w1yFskyg-PU/maxresdefault.jpg,na,na,278,21,0,6,yes,yes,yes
60,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,P45IS9N2Gpk,2020-09-07T08:16:49Z,2020-09-07 8:16:49,2020,9,7,EFF nationwide protest against Clicks kicks off in various stores,"#Newzroom405 reporters Athi Mtongana in Cape Town, Hitekani Magwedze in Polokwane, and Mbali Thethani in Midrand, track the EEF protest against various Clicks stores following outrage over discriminatory hair campaign. Tune into Newzroom Afrika on DSTV channel 405 for more.",na,News & Politics,"Politics,Society,Television_program",649,hd,FALSE,en,na,https://i.ytimg.com/vi/P45IS9N2Gpk/maxresdefault.jpg,na,na,8846,91,0,142,yes,yes,yes
61,UCuAz0umV0HrTj0XWrWBpGhQ,Graham Michael Astley,T6xDauqmXaI,2020-09-07T18:06:07Z,2020-09-07 18:06:07,2020,9,7,EFF Destroy Clicks Stores South Africa 2020,Hair advert row: EFF threatens to shut down Clicks stores on Monday Democratic Alliance Today we lay charges against Julius Malema and the EFF for incitement of violence and destruction of property. We call on SAPS to do their job and protect the citizens of this country. The EFF are destroying the livelihoods of thousands of #Clicks employees. Enough is Enough!,"EFF Destroy Clicks Stores South Africa 2020,Democratic Alliance,Today we lay charges against Julius Malema,EFF,The EFF are destroying the livelihoods,moonoveraquarius media",Film & Animation,Society,28,hd,FALSE,na,en,na,1,na,213,2,0,2,yes,yes,yes
62,UC8yH-uI81UUtEMDsowQyx1g,SABC News,mTfSl9KnNPo,2020-09-07T08:59:07Z,2020-09-07 8:59:07,2020,9,7,EFF demands closure of all Clicks stores for 5 days,"Members of the EFF led by party Deputy President, Floyd Shivambu gathered outside Clicks store at the Sandton City, north of Johannesburg. This is a part of the national pickets at all Clicks stores by the EFF, following an uproar on social media as the company posted unfounded pictures describing black hair as bad. There's a heavy police presence, including private security in and around the store this morning. Clicks released a statement late last night, saying it'll be business as usual at all its stores in the country. And that has angered the EFF, saying the statement shows the extent of how arrogant clicks South Africa is when it comes to racial injustices in the country. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Floyd Shivambu",News & Politics,Society,668,hd,FALSE,na,en,https://i.ytimg.com/vi/mTfSl9KnNPo/maxresdefault.jpg,1,na,13352,112,0,126,yes,yes,yes
63,UC8yH-uI81UUtEMDsowQyx1g,SABC News,EZDazXhf-Pk,2020-09-07T10:27:37Z,2020-09-07 10:27:37,2020,9,7,EFF vows to intensify protest at Clicks stores: Julius Malema,"EFF leader Julius Malema outlined their demands for Clicks Pharmacy stores, saying corrective steps need to be taken. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Julius Malema",News & Politics,"Health,Society",35,hd,FALSE,na,en,https://i.ytimg.com/vi/EZDazXhf-Pk/maxresdefault.jpg,1,na,3339,18,0,7,yes,yes,yes
64,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,flzoE9zL_KA,2020-09-07T11:28:32Z,2020-09-07 11:28:32,2020,9,7,Clicks Staff safety a concern | EFF clashes,"The EFF has forced several Clicks stores across the country to close. Clicks triggered a massive backlash after posting images which most people viewed as showing prejudice against black women. But there are concerns about the safety of the company's staff. South African Commercial, Catering and Allied Workers Union spokesperson Lucas Ramatlhodi joins us for a discussion. Courtesy #DStv403",na,News & Politics,"Politics,Society,Television_program",207,hd,FALSE,na,na,https://i.ytimg.com/vi/flzoE9zL_KA/maxresdefault.jpg,1,na,7017,24,0,0,yes,yes,yes
65,UC8yH-uI81UUtEMDsowQyx1g,SABC News,9ewtc8eUY7k,2020-09-07T11:45:24Z,2020-09-07 11:45:24,2020,9,7,EFF vs Clicks | At least 3 Clicks stores vandalised: Musa Novela,"At least 3 Clicks stores have been petrol-bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo, following EFF's call to intensify its campaign against Clicks stores across the country due to a controversial online advertisement. The EFF has distanced itself from the attacks on the stores. SABC's reporter Natasha Phiri speaks to EFF's Musa Novela in Sandton. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Clicks,Sandton",News & Politics,"Health,Society",439,hd,FALSE,na,en,https://i.ytimg.com/vi/9ewtc8eUY7k/maxresdefault.jpg,1,na,20674,122,0,100,yes,yes,yes
66,UC8yH-uI81UUtEMDsowQyx1g,SABC News,P82g09FOSQ0,2020-09-07T07:48:19Z,2020-09-07 7:48:19,2020,9,7,EFF takes on Clicks over racist advert in Mahikeng: Bafedile Moerane,"Let us now take you to Mahikeng where our reporter Bafedile Moerane is monitoring EFF protests at three Clicks stores. For more let's cross to our reporter Bafedile Moerane. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Mahikeng,North West,Clicks,Economic Freedom Fighters",News & Politics,"Health,Society,Television_program",280,hd,FALSE,na,en,https://i.ytimg.com/vi/P82g09FOSQ0/maxresdefault.jpg,1,na,11466,55,0,28,yes,yes,yes
67,UC8yH-uI81UUtEMDsowQyx1g,SABC News,fs_xxqx70mA,2020-09-07T09:26:53Z,2020-09-07 9:26:53,2020,9,7,EFF vs Clicks | Clicks store petrol-bombed in Polokwane: Update with Lutendo Bobodi,"EFF members out in full force at several Clicks stores in the country protesting against a racist advert. One of Clicks' store was petrol-bombed in Polokwane. For more on the story let's cross live to our reporter Lutendo Bobodi. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Clicks,Limpopo",News & Politics,"Society,Television_program",278,hd,FALSE,na,en,https://i.ytimg.com/vi/fs_xxqx70mA/maxresdefault.jpg,1,na,6858,30,0,37,yes,yes,yes
69,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,oYpXigYPY34,2020-09-07T13:12:02Z,2020-09-07 13:12:02,2020,9,7,KZN | EFF takes on Clicks,The EFF has been protesting at Clicks stores across the country. eNCA's Mawande Kheswa has more from KZN. Courtesy #DStv403,na,News & Politics,"Politics,Society,Television_program",127,hd,FALSE,na,na,https://i.ytimg.com/vi/oYpXigYPY34/maxresdefault.jpg,1,na,3718,9,0,0,yes,yes,yes
70,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,aBvFbiItMSM,2020-09-08T09:23:22Z,2020-09-08 9:23:22,2020,9,8,Clicks has won an interdict to stop the EFF from interfering with its business,"Retail group Clicks has won an interdict to stop the EFF from interfering with its business. Members of the red berets gathered at various outlets of the health and beauty retailer, protesting against a controversial hair advert. Newzroom Afrika's Athi Mtongana speaks to EFF Cape Metro Regional Chairperson, Unathi Ntame. Tune into #Newzroom405 for more.",na,News & Politics,"Politics,Society,Television_program",437,hd,FALSE,en,na,https://i.ytimg.com/vi/aBvFbiItMSM/maxresdefault.jpg,na,na,9909,128,0,81,yes,yes,yes
71,UClOBN_7yBnDvM0hNxuMh8OQ,Salaamedia,53csnd4TZA8,2020-09-07T10:02:53Z,2020-09-07 10:02:53,2020,9,7,EFF moves to shut down Clicks stores across South Africa.,EFF moves to shut down Clicks stores across South Africa.,na,Entertainment,Society,416,hd,FALSE,na,na,https://i.ytimg.com/vi/53csnd4TZA8/maxresdefault.jpg,1,na,16,0,0,0,yes,yes,yes
72,UC8yH-uI81UUtEMDsowQyx1g,SABC News,N2d1eBI5Zjc,2020-09-07T07:43:52Z,2020-09-07 7:43:52,2020,9,7,EFF embarks on nationwide shutdown of Clicks stores in Goodwood Mall: Mariska Botha,"The EFF has threatened to shut down all Clicks stores across the country if it continues operating. The party has called for the closure of the health and lifestyle retail stores after it failed to meet its list of demands for corrective action over its controversial online advert. Clicks later removed the images and posted an apology, but the EFF says it's not convinced the apology is genuine. Our reporter Mariska Botha is at Goodwood. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Clicks,Goodwood,Western Cape",News & Politics,"Health,Society,Television_program",276,hd,FALSE,na,en,https://i.ytimg.com/vi/N2d1eBI5Zjc/maxresdefault.jpg,1,na,7297,74,0,34,yes,yes,yes
73,UC8yH-uI81UUtEMDsowQyx1g,SABC News,_aH8qJLdKtI,2020-09-07T10:37:05Z,2020-09-07 10:37:05,2020,9,7,EFF vs Clicks | Natasha Phiri updates on EFF's protest at Clicks in Sandton City,"The EFF has vowed to intensify its campaign against Clicks stores across the country following a controversial online advertisement. At least 3 Clicks stores have been petrol bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo. The EFF has distanced itself from the attacks on the stores. For more on EFF protest, we cross to our reporter Natasha Phiri in Sandton. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters",News & Politics,Society,459,hd,FALSE,na,en,https://i.ytimg.com/vi/_aH8qJLdKtI/maxresdefault.jpg,1,na,30302,203,0,103,yes,yes,yes
74,UCxXiuc8GlOXv1e4HTccKFlg,KagiMersh,jpOUpFuupmY,2020-09-08T10:33:09Z,2020-09-08 10:33:09,2020,9,8,"Clicks store petrol bombed,another trashed over hair ad",na,na,Entertainment,Society,94,hd,FALSE,na,na,https://i.ytimg.com/vi/jpOUpFuupmY/maxresdefault.jpg,1,na,1455,14,0,4,yes,yes,yes
77,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,quhwYf1kfG4,2020-09-09T14:04:23Z,2020-09-09 14:04:23,2020,9,9,Checkers to remove TRESemmé products from its shelves following protests against Clicks,"Retailer Checkers to remove TRESemmé products from its shelves following protests against Clicks. For more on this, Stephen Grootes is joined in studio by our Business editor, Xolani Mbanjwa. Tune into #DSTV channel 405 for more.",na,News & Politics,"Society,Television_program",216,hd,FALSE,en,na,https://i.ytimg.com/vi/quhwYf1kfG4/maxresdefault.jpg,na,na,2477,35,0,29,yes,yes,yes
78,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,huI9qbGqNhA,2020-09-07T17:59:13Z,2020-09-07 17:59:13,2020,9,7,DA lays charges against EFF after Clicks protests,The Democratic Alliance says it will open a case against the EFF after vandalism at some Clicks stores in the wake of the pharmacy chain’s online advert. Courtesy #DStv403,na,News & Politics,"Politics,Society,Television_program",412,hd,FALSE,en,en,https://i.ytimg.com/vi/huI9qbGqNhA/maxresdefault.jpg,1,na,129509,1368,0,na,yes,yes,yes
80,UCfv4UEUKvA43JlsDiGpXUcw,Yolz Channel,3FknAfusMYE,2020-09-08T15:04:05Z,2020-09-08 15:04:05,2020,9,8,STORYTIME: Hopefully this CLICKS cause this nonsense needs to stop.,"Hello hunies, I can't begin to describe how disappointed I am in Clicks and Tresemme. Having worked with both brands before, this is truly what I have to say on this. Let me know your thoughts on this advert and propose sustainable solutions that could help these brands do better. Connect with me: Shop my Sheet Masks: www.yolzbeauty.co.za IG: @yolzbeauty My IG: @yolzchannel My Twitter: @yolzchannel Facebook: Yolz Channel Business email: yolzchannel@gmail.com #ClicksHairAd #Naturalhair #StoryTime","yolz channel,clicks hair advert,clicks faces backlash,clicks under fire over hair,tresemme hair advert,beauty retailer in trouble,SA beauty retailer clicks,clicks advert outrage,clicks advert debacle,clicks in hot water,unpacking the Clicks saga,clicks and tresemme hair advert,clicks advert in south africa,clicks controversial advert,natural hair,normal hair,clicks normal hair ad,south african natural,south african youtuber,natural hair youtuber,hair",Howto & Style,Lifestyle_(sociology),660,hd,FALSE,na,en,https://i.ytimg.com/vi/3FknAfusMYE/maxresdefault.jpg,1,na,20897,1971,0,228,yes,yes,yes
81,UCxPPgRYHH1NSp2Ya_ROiXxw,TimesLIVE Video,vXyam3MFMqw,2020-09-07T10:49:55Z,2020-09-07 10:49:55,2020,9,7,Clicks shutdown: Shivambu leads EFF protest in Sandton while other stores vandalised,"Members of the EFF, led by deputy president Floyd Shivambu, protested outside the Clicks retail store in Sandton City as part of a nationwide protest on September 7 2020. This comes after the retail group released a TRESemmé advert on its website that has been condemned by the EFF as racist. Meanwhile, police are investigating several incidents across the country where stores were vandalised. For more on this story: https://www.timeslive.co.za/news/south-africa/2020-09-08-clicks-obtains-order-barring-eff-members-from-intimidating-customers-staff/ #ClicksShutdown #EFF #ClicksProtest Subscribe to MultimediaLIVE here: https://www.youtube.com/user/TimesLive Comment Moderation Policy: https://www.timeslive.co.za/comments/",na,News & Politics,Society,109,hd,FALSE,na,na,https://i.ytimg.com/vi/vXyam3MFMqw/maxresdefault.jpg,1,na,48765,67,0,41,yes,yes,yes
82,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,vDu0w0k2M0w,2020-09-07T19:06:27Z,2020-09-07 19:06:27,2020,9,7,SACCAWU calls for the protection of Clicks' employees during and after the protests,"With the EFF shutting down #Clicks stores, SACCAWU is calling for the protection of the retailer's employees during and after the protests. For more on this, Thabo Mdluli speaks to SACCAWU Spokesperson, Lucas Ramatlhodi. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,"Society,Television_program",413,hd,FALSE,en,na,https://i.ytimg.com/vi/vDu0w0k2M0w/maxresdefault.jpg,na,na,862,10,0,12,yes,yes,yes
83,UCQhk2L0BRIVU6s_MCJlJeCw,themba kevin network,xv7b9wB8N_8,2020-09-10T11:29:52Z,2020-09-10 11:29:52,2020,9,10,"Clicks, Tresemme and the EFF | The Not So Daily Show with Themba Kevin",The Not So Daily Show goes in depth and takes a closer look at the controversy surrounding the #Tresemme #Clicks #EFF Saga. We also highlight the incredible international success of #MasterKG and #Jerusalema. Connect with with me @kevienne_ on Instagram and @themba_kevin on twitter. https://www.instagram.com/kevienne_/ Let's push hard on our road to #Roadto1000subscribers,"tresemme,clicks,makro,dischem,racism,racialbias,naturalhair,enca,sabcnews,newzroonafrika,trevornoah,southafrica",Entertainment,"Society,Television_program",256,hd,FALSE,na,na,na,na,na,421,35,0,10,yes,yes,yes
85,UC8yH-uI81UUtEMDsowQyx1g,SABC News,FIgI7GIcsuc,2020-09-07T07:56:01Z,2020-09-07 7:56:01,2020,9,7,EFF vs Clicks | EFF leader Julius Malema at Clicks Mall of the North,"Economic Freedom Fighters' leader Julius Malema says he will report to Clicks every morning this week, protesting against the retailer's advert that depicted black hair as inferior to white hair. Malema is at the Mall of the North in Polokwane. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.","SABC News,actuality,world news,local news,Coronavirus,COVID-19,COVID-19 Lockdown,COVID-19 News,Economic Freedom Fighters,Julius Malema,Polokwane",News & Politics,"Society,Television_program",670,hd,FALSE,na,en,https://i.ytimg.com/vi/FIgI7GIcsuc/maxresdefault.jpg,1,na,487961,4532,0,2522,yes,yes,yes
86,UCDJghVjGFCp6ynnX3GidHpw,Wesley Fester,yZM41smZoFw,2020-09-08T13:07:34Z,2020-09-08 13:07:34,2020,9,8,EFF closes Clicks stores for a second day,"The Economic Freedom Fighters (EFF), South Africa’s third largest political party, today continued with their mass protests to close the stores of health and beauty retailer Clicks, across South Africa. Clicks is one of the largest retail chain brands in South Africa. The company came under from the EFF and on social media after an advertisement on their website depicted natural hair as “dry and damaged” while the hair of a white woman was depicted as “fine and normal”. Clicks was today granted a high court interdict prohibiting the EFF from disrupting their business operations or intimidating their staff. Despite the interdict, the EFF continued with the closure of stores. Clicks has announced that a senior executive responsible for placing the images has resigned and junior staff involved have been suspended. The company has also removed all Tresseme products from its shelves and made a decision to expand its range of natural hair products.","wesley fester,south africa,news,journalism,breaking news,current affairs",News & Politics,Society,73,hd,FALSE,na,na,na,1,na,241,1,0,0,yes,yes,yes
87,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,Ra0hdT2gsxU,2020-09-07T14:20:04Z,2020-09-07 14:20:04,2020,9,7,Discussion | Political and Social Analyst talks on Clicks,"Clicks is the latest retailer to face backlash over racially charged advertising. Tessa Dooms, Political and Social Analyst speaks to eNCA. Courtesy #DStv403",na,News & Politics,"Society,Television_program",470,hd,FALSE,en,en,https://i.ytimg.com/vi/Ra0hdT2gsxU/maxresdefault.jpg,1,na,8752,81,0,na,yes,yes,yes
88,UCx5pwNNI3m4_hV6L7W48hPw,Charmie,9O9ftUO4DqM,2020-09-06T16:33:53Z,2020-09-06 16:33:53,2020,9,6,Clicks Racist Hair Advert vs EFF | Moto VLOG,"Clicks Racist Hair Advert vs EFF. | The recent Clicks Hair Ad has caused consternation across the black community. So far the issue has split comment sections. Others not seeing it offensive at all. EFF's statement is being questioned. ( Their demand is basically to see numbers of employees that identify as Black / African in executive and corporate levels. Please look up campaigns like ' Pull Up or Shut Up' if that request still confuses you.) (Personally), I will not support a company that does not have enough brainpower to see that this is offensive. Please Subscribe to keep up with my content. It's Free. Thank you all xx 💙 ---------------------------------- Part 2: https://youtu.be/-nhxEBKxpwo","Black Lives Matter,Clicks Advert,Clicks Hair Advert,EFF,Malema,Moto Vlog,Rant,STORYTIME,VLOG,South African Youtuber,Julius Malema,BLM,Racist Advert,Racism,Discrimination,Cancel Clicks,No to Violence,Cruelty,Black People,White people,Dear white people",Autos & Vehicles,Lifestyle_(sociology),300,hd,FALSE,na,na,https://i.ytimg.com/vi/9O9ftUO4DqM/maxresdefault.jpg,na,na,9821,na,0,12,yes,yes,yes
91,UCF-A_4x9-bLrxXrmgBOWuJA,Economic Freedom Fighters,lfftUjkmEyY,2020-09-07T08:16:45Z,2020-09-07 8:16:45,2020,9,7,"CIC Julius Malema at Clicks, Mall of the North #ClicksMustFall",A conversation with a panel of experts on the range of themes covered during the EFF Women's Month Series,na,News & Politics,Society,70,hd,FALSE,na,en-US,https://i.ytimg.com/vi/lfftUjkmEyY/maxresdefault.jpg,na,na,3332,47,0,0,yes,yes,yes
