position,randomise,channel_id,channel_title,video_id,url,published_at,published_at_sql,year,month,day,video_title,video_description,tags,video_category_label,topic_categories,duration_sec,definition,caption,default_language,default_l_audio_language,thumbnail_maxres,licensed_content,location_description,view_count,like_count,favorite_count,comment_count,controversy,clicks,body_politics,eff_lead
73,659,UC8yH-uI81UUtEMDsowQyx1g,SABC News,_aH8qJLdKtI,https://www.youtube.com/watch?v=_aH8qJLdKtI,2020-09-07T10:37:05Z,2020-09-07 10:37:05,2020,9,7,EFF vs Clicks | Natasha Phiri updates on EFF's protest at Clicks in Sandton City,"The EFF has vowed to intensify its campaign against Clicks stores across the country following a controversial online advertisement. At least 3 Clicks stores have been petrol bombed or damaged in Emalahleni in Mpumalanga, Alberton in Johannesburg and in Polokwane in Limpopo. The EFF has distanced itself from the attacks on the stores. For more on EFF protest, we cross to our reporter Natasha Phiri in Sandton. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;economic freedom fighters,News & Politics,society,459,hd,FALSE,na,en,https://i.ytimg.com/vi/_aH8qJLdKtI/maxresdefault.jpg,1,na,30302,203,0,103,yes,yes,yes,yes
81,969,UCxPPgRYHH1NSp2Ya_ROiXxw,TimesLIVE Video,vXyam3MFMqw,https://www.youtube.com/watch?v=vXyam3MFMqw,2020-09-07T10:49:55Z,2020-09-07 10:49:55,2020,9,7,Clicks shutdown: Shivambu leads EFF protest in Sandton while other stores vandalised,"Members of the EFF, led by deputy president Floyd Shivambu, protested outside the Clicks retail store in Sandton City as part of a nationwide protest on September 7 2020. This comes after the retail group released a TRESemmé advert on its website that has been condemned by the EFF as racist. Meanwhile, police are investigating several incidents across the country where stores were vandalised. For more on this story: https://www.timeslive.co.za/news/south-africa/2020-09-08-clicks-obtains-order-barring-eff-members-from-intimidating-customers-staff/ #ClicksShutdown #EFF #ClicksProtest Subscribe to MultimediaLIVE here: https://www.youtube.com/user/TimesLive Comment Moderation Policy: https://www.timeslive.co.za/comments/",na,News & Politics,society,109,hd,FALSE,na,na,https://i.ytimg.com/vi/vXyam3MFMqw/maxresdefault.jpg,1,na,48765,67,0,41,yes,yes,yes,yes
98,758,UCWVbAybOwwpod4hfiDvc03Q,The Brother Leader,d-2PhlnrlTM,https://www.youtube.com/watch?v=d-2PhlnrlTM,2020-09-09T20:59:15Z,2020-09-09 20:59:15,2020,9,9,Racist Clicks Advertisement Unpacked,"This is video seeks to highlight the depth of hurt Clicks (South African retailer) has caused to millions of black people, in particular black women in South African and across the world. Clicks has put up an advertisement on their website which describes black people's hair as damaged and white people's hair as ""normal"". There is no place for racists/racism in this world!",na,People & Blogs,society,960,hd,FALSE,na,na,https://i.ytimg.com/vi/d-2PhlnrlTM/maxresdefault.jpg,na,na,118,10,0,9,yes,yes,yes,no
120,945,UCMTJdjeJ148pudakrag1azw,King Mshotinarry,KhWmtpOvdjs,https://www.youtube.com/watch?v=KhWmtpOvdjs,2020-09-07T04:00:15Z,2020-09-07 4:00:15,2020,9,7,EFF calls shut down of all Clicks stores in South Africa over a racist ad & Clicks denies,Clicks issued an apology hower EFF ayizwile and they are willing to shut down all stores across South Africa.,eff;clicks;racist;denied,Education,society,116,sd,FALSE,na,en-GB,https://i.ytimg.com/vi/KhWmtpOvdjs/maxresdefault.jpg,na,na,1775,12,0,2,yes,yes,yes,yes
126,916,UCoemSA2Kr6MoNgDMOS5gcyg,Rich SA,_x97wV0adRM,https://www.youtube.com/watch?v=_x97wV0adRM,2020-09-07T09:47:06Z,2020-09-07 9:47:06,2020,9,7,Racist ad cost Clicks stores All over South Africa 👉 shutdown| Eff leader Julius malema Explains|,#Clicksad #eff #shutdownClicks,na,People & Blogs,society,327,hd,FALSE,na,na,na,na,na,23,4,0,1,yes,yes,yes,yes
133,881,UCF-A_4x9-bLrxXrmgBOWuJA,Economic Freedom Fighters,dgUlvv0VKSY,https://www.youtube.com/watch?v=dgUlvv0VKSY,2020-09-07T07:29:10Z,2020-09-07 7:29:10,2020,9,7,"CIC Julius Malema at Clicks, Mall of the North #ClicksMustFall","CIC Julius Malema at Clicks, Mall of the North #ClicksMustFall",na,News & Politics,society,1893,hd,FALSE,na,en-US,https://i.ytimg.com/vi/dgUlvv0VKSY/maxresdefault.jpg,na,na,10996,329,0,0,yes,yes,yes,no
142,955,UCdWF3P7AswCKdoXM_sAdcWQ,Ile Eko Omoluabi,96T3PBtkXLU,https://www.youtube.com/watch?v=96T3PBtkXLU,2020-09-18T21:45:17Z,2020-09-18 21:45:17,2020,9,18,"Hair Politics: Clicks, Weaves and Internalized Anti-Blackness with Ntsiki Mazwai","This was a conversation with Ntsiki Mawai - aka Street Queen on the question of black women wearing their natural hair. Ntsiki shares her thoughts on weaves and its implication on black liberation, economics and self acceptance. ONLINE: www.ntsikimazwai.co.za TWITTER: www.twitter.com/ntsikimazwai SOUNDCLOUD: www.soundcloud.com/ntsikimazwai YOUTUBE CHANNEL: www.youtube.com/ntsikimazwai BLOG: www.wordpress.com/ntsikimazwai iTunes: https://itunes.apple.com/za/album/ndingubani/id663474147 Poems: https://www.youtube.com/watch?v=cpodaCD83H0 | https://www.youtube.com/watch?v=cpodaCD83H0 | https://www.youtube.com/watch?v=JxxF19IVOwo BOOKINGS: ntsiki_mazwai@yahoo.com / missmazwai@gmail.com",natural hair;natural hair care;natural hair journey;natural hairstyels;history of black hair;black hair;going natural;politics and covid-19;you can touch my hair;hair culture;hair tutorial;relaxers;melissa harris perry;black women;straight hair routine;straight hair;politics;how to straighten your hair;hair straightening;women's hair;straight hair hairstyles;upenn;hair;africana,People & Blogs,society,1894,hd,FALSE,na,en,na,na,na,103,5,0,0,yes,yes,yes,no
143,862,UC5G5Dy8-mmp27jo6Frht7iQ,Umgosi Entertainment,8_xPJjpp5qI,https://www.youtube.com/watch?v=8_xPJjpp5qI,2020-09-09T09:18:18Z,2020-09-09 9:18:18,2020,9,9,WATCH WHAT EFF DID TO CLICKS STORE😳 |THIS IS GETTING OUT OF HAND😳🇿🇦 | TRENDINGSA,"WATCH WHAT EFF DID TO CLICKS STORE😳 |THIS IS GETTING OUT OF HAND Hey sweeties I hope you well, thank you so much for taking your time to watch my video. Please don’t forget to support me by subscribing, liking and sharing this video, Please comment down below the type of videos you also wanna see on this channel ❤️ Instagram: ladylondie Facebook page: keeping up with Queen Email : Londeka502@gmail.com FAQ -I’m 23 years old -I use my iPhone 7 to film -I use iMovie and filmora to edit -I use thumbnail app for my thumbnail",na,People & Blogs,society,140,sd,FALSE,na,en-US,na,1,na,48,3,0,0,yes,yes,yes,yes
154,806,UCzvl9exW-o8IsySPU-ezgoQ,TheKingzRSA,m4KitiLQ0_g,https://www.youtube.com/watch?v=m4KitiLQ0_g,2020-09-09T03:58:58Z,2020-09-09 3:58:58,2020,9,9,EFF Destroy clicks stores|| South Africa,"WELCOME BACK TO THE SPEAKLIFE CHANNLE🔥❤ IN THIS VIDEO I AM GOING To LOOK AT HOW THE EFF Destroy clicks stores|| South Africa WATCH THIS VIDEO🎥🎬 FULLY AND I HOPE YOU ALL LOVE ❤ IT AND SO DOING LIKE THIS VIDEO 👍 COMMENT✏ ON THE VIDEO AND SHARE WITH YOUR FAMILY ,FRIENDS BECAUSE YOUR DOGS😂 AND CATS AS ALREADY SUBSCRIBED WHAT ARE YOU WAITING FOR? 😲😆 AND TURN ON THAT BELL 🔔 👈 SO THAT YOU WILL BE NOTIFIED EVERY TIME (TUESDAY ) WE DROP A NEW LITE VIDEO #Enews #News24 Don't forget to follow us on the following platforms Gustave *instagram - (@gustave_tshilaba): https://www.instagram.com/gustave_tshilaba/ *Tweeter - (@gustavetshilaba): https://twitter.com/gustavetshilaba?s=09 Patrick Instagram - (@tshilaba7): https://www.instagram.com/tshilaba7/ DIEUDONNE https://www.instagram.com/dieudonnetshilaba?r=nametag Speaklife *Instagram - https://www.instagram.com/speaklife_123/  *Facebook - https://www.facebook.com/Speak-life-526908537714166/  *YouTube - https://youtu.be/HFYqN7dFgW0  *Twitter - https://twitter.com/123Speaklife?s=08 FOLLOW, LIKE, SUBSCRIBE",sabcnews;corona virus;actuality;enews;news24;eff destroy clicks stores|| south africa;eff destroy clicks;why destroying clicks stores eff;enca,Entertainment,society,618,hd,FALSE,na,en,https://i.ytimg.com/vi/m4KitiLQ0_g/maxresdefault.jpg,1,na,205,11,0,9,yes,yes,yes,yes
161,678,UCFnUvf-Lg1nIc5wvl9lx8zQ,Mzansi Hotspot,cuXJVNIGsmc,https://www.youtube.com/watch?v=cuXJVNIGsmc,2020-09-07T09:27:39Z,2020-09-07 9:27:39,2020,9,7,EFF kept its promise against Clicks stores,"EFF kept its promise against Clicks stores Clicks is under fire over their rasist ad #ClicksSA #Clicks #EFF Please don't forget to like, comment, share and subscribe after watching this video. This will help our family to grow",na,Entertainment,society,320,hd,FALSE,na,en,https://i.ytimg.com/vi/cuXJVNIGsmc/maxresdefault.jpg,1,na,531,7,0,11,yes,yes,yes,yes
184,696,UCITau47AeZDY9sO77TA3OUA,ITV News,CcohXCpdWTM,https://www.youtube.com/watch?v=CcohXCpdWTM,2020-09-09T16:03:58Z,2020-09-09 16:03:58,2020,9,9,CLICKS TAKES DECISION TO CLOSE ALL STORES TODAY,"WHILE THE EFF warned that it would keep Clicks stores closed until Friday, the retailer said it had decided to close all branches today to engage with staff, and then hoped to reopen. The closure of hundreds of stores in the pharmaceutical, health and beauty chain for a second consecutive day followed an outcry over the publication of a controversial advert for hair product TRESemmé. Members of the EFF were dispatched to the stores as part of a national protest against the advert in which black women’s hair was described as “dry and damaged” while white women’s hair was represented as flat and fine.",na,People & Blogs,society,41,hd,FALSE,na,en-GB,na,na,na,6,0,0,0,yes,yes,yes,no
192,968,UCfPAD6IOIZ-BEoJCTWBQCZg,Newcastle Advertiser,FfwMMQZR89k,https://www.youtube.com/watch?v=FfwMMQZR89k,2020-09-08T09:29:38Z,2020-09-08 9:29:38,2020,9,8,EFF protests outside Clicks at Newcastle Mall,EFF members gathered at the Newcastle Mall outside the Clicks store.,na,Nonprofits & Activism,society,82,hd,FALSE,na,en-GB,na,na,na,172,1,0,0,yes,yes,yes,yes
208,819,UCH5YH80cdUceo1gEeH0SgoA,Duke University - The Fuqua School of Business,gLgHVhHZkl0,https://www.youtube.com/watch?v=gLgHVhHZkl0,2020-09-11T13:13:23Z,2020-09-11 13:13:23,2020,9,11,Bias Against Black Women with Natural Hair,"Senior Associate Dean Ashleigh Shelby Rosette discusses her recent research that suggests bias against natural hair limits job opportunities for Black women. This video is a recording of a LinkedIn Live broadcast that occurred on September 9, 2020.",duke;university;duke university;fuqua;school;business;the fuqua school of business;mba;durham;nc;race;racism;george floyd;breonna taylor;ahmaud arbery;christian cooper;jacob blake;black hair;natural hair;black;african american;job interview;employment;shooting;police brutality;protests;riots;dreadlocks;braids;cornrows;crown act;white;privilege;bias;injustice;discrimination,Education,society,1719,hd,TRUE,na,en,https://i.ytimg.com/vi/gLgHVhHZkl0/maxresdefault.jpg,1,na,4932,46,0,11,yes,yes,yes,no
234,712,UCMwDXpWEVQVw4ZF7z-E4NoA,StellenboschNews Com,IjXZJsce8ig,https://www.youtube.com/watch?v=IjXZJsce8ig,2020-09-10T13:20:01Z,2020-09-10 13:20:01,2020,9,10,Altercation between SAPS and EFF members and supporters at Clicks,An altercation occurred between the SAPS and EFF at the Eikestad Mall's Clicks in Stellenbosch on 10 September. Video: Supplied.,na,People & Blogs,society,30,hd,FALSE,na,na,na,na,na,324,2,0,0,yes,yes,yes,yes
245,975,UCLmQ9H4BPN4-lrbzTd2a32A,Jamaal Curry,uqALTyO6lPM,https://www.youtube.com/watch?v=uqALTyO6lPM,2020-09-08T03:05:19Z,2020-09-08 3:05:19,2020,9,8,EFF IN SOUTH AFRICA Protest RACIST Advertisement from Retailer CLICKS/ BOYCOTT(brothers and SISTERS),Brothers and SISTERS of the EFF hold CLICKS responsible for racist ADS.. peace..,na,People & Blogs,society,256,sd,FALSE,na,na,na,na,na,131,10,0,3,yes,yes,yes,yes
276,698,UCWGHnEsby7LeFneb3olsE3g,emzi info,gCGlny-t94Y,https://www.youtube.com/watch?v=gCGlny-t94Y,2020-09-08T09:57:22Z,2020-09-08 9:57:22,2020,9,8,Julius malema speaks about clicks must close | clicks store remain close,"for more videos subscribe and press the bell icon. #clicksstoreclose #EFFprotest julius malema, julius malema 2020, julius malema interview, julius malema funny moments, julius malema vbs, julius malema interview judge, julius malema in parliament, julius malema 2020 latest, julius malema on george floyd, julius malema on coronavirus, julius malema on alcohol, julias malema black lives matter, best of julius malema, julius malema corona, julius malema cars, julias malema women's day, julius malema on truck drivers, julius malema youth day, dr malema, julius malema public engagement, julius malema father, julias malema george floyd, julius malema live stream, julius malema on zimbabwe, julius malema house, julius malema house and cars, julius malema interviews, julius malema in parliament 2020, julias malema i'm in charge, julius malema interview today, julius malema interrogation, julius malema june 16, julius malema july 2020, julius malema 25 june 2020, julius malema 16 june 2020, j malema, julius malema,julius malema 2020,julius malema interview,julius malema funny moments,eff protest for george floyd,eff protest march today,eff protest in cape town,protest about clicks store,clicks store,EFF protest about racism,julius malema speaks,julius malema studies,malema julius today,julius malema press,julius malema today,EFF fighting with enca reporter,clicks hair advertise,clicks hair racist advertise reaction,what clicks advertise wrong malema sello julius, julius malema latest, julius malema live, julius malema latest news, julius malema lifestyle, julius malema latest videos, julius malema on lockdown, julias malema moments, julias malema on mnangagwa, malema julius, malema julius today, julius malema news, malema julius news, julius malema on vbs, julias malema on zimbabwe, julias malema on black lives matter, julias malema on zanu pf, julius malema q&a, julius malema speech, julius malema song, julius malema singing, julias malema speeches, julius malema speech today, is julius malema sick, is julius malema from ethiopia, is julius malema father from zimbabwe, is julius malema a zimbabwean, is julius malema from zimbabwe, is julius malema married, is julius malema's father a zimbabwean, is julius malema going back to anc, julius malema today, julius malema truck drivers, julius malema videos, julius malema vs journalist, julius malema wife, julius malema yesterday, julius malema youtube, julius malema with 5 journalists eff protest songs, eff protest for george floyd, eff protest at us embassy, eff protest at free state university, eff protest march today, eff protest in cape town, eff protests today, eff protest in sandton today, eff protest sandton, eff h&m protest, jeff protest, jeff wittek shot protest, jeff bezos protest, jeff bezos house protest, protest against jeff bezos, jeff bezos protestors, jeff shot at protest, jeff favignano protest, eff protest us embassy julius malema speaks, julius malema studies, julius malema 2019, malema julius today, julius malema fighting in parliament",julius malema;julius malema 2020;julius malema interview;julius malema funny moments;eff protest for george floyd;eff protest march today;eff protest in cape town;protest about clicks store;clicks store;eff protest about racism;julius malema speaks;julius malema studies;malema julius today;julius malema press;julius malema today;eff fighting with enca reporter;clicks hair advertise;clicks hair racist advertise reaction;what clicks advertise wrong,Entertainment,society,356,sd,FALSE,na,na,https://i.ytimg.com/vi/gCGlny-t94Y/maxresdefault.jpg,na,na,81,0,0,0,yes,yes,yes,no
309,999,UCDp4zhhGaSQ4ZoCgikqV87w,Local Entertainment,eZp0IIe_YPc,https://www.youtube.com/watch?v=eZp0IIe_YPc,2020-09-08T06:23:02Z,2020-09-08 6:23:02,2020,9,8,EFF members toyi-toying infront of Clicks store,"Please subscribe for more political, sports and entertainment videos",na,People & Blogs,society,146,sd,FALSE,na,na,na,na,na,61,1,0,0,yes,yes,yes,yes
6,824,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,PG0pYsaIh6s,https://www.youtube.com/watch?v=PG0pYsaIh6s,2020-09-07T13:24:03Z,2020-09-07 13:24:03,2020,9,7,Clicks Group CEO explains the controversial advert,"Vikesh Ramsunder, Clicks Group CEO explains the controversial advert referring to black hair as damaged or frizzy - while the hair of white people is described as fine and flat, and who is responsible for it. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,society;television_program,393,hd,FALSE,en,na,https://i.ytimg.com/vi/PG0pYsaIh6s/maxresdefault.jpg,na,na,83542,347,0,501,yes,yes,yes,no
22,769,UC8yH-uI81UUtEMDsowQyx1g,SABC News,dGDBWhcPTuI,https://www.youtube.com/watch?v=dGDBWhcPTuI,2020-09-09T07:56:00Z,2020-09-09 7:56:00,2020,9,9,Clicks to close stores on Wednesday and reopens on Thursday,"Retailer, Clicks has closed all its stores today and will reopen them tomorrow following EFF's protests over an online hair advert that denigrated black people. Nonkululeko Gobodo, an independent, non-executive director at the Clicks Group, says the controversial hair advert is both unacceptable and inexcusable. The online advert denigrated the hair of black people, portraying white hair as normal. Amid protests by the EFF, the lifestyle and health retailer has closed all stores today and will re-open them tomorrow in order to offer counselling services to staff. Gobodo says she has highlighted the issue with Clicks management asking it to review the processes used to approve the advert. She also says racism and prejudice against women are crimes, and the country cannot move forward unless these are immediately addressed in society and business. For more news, visit sabcnews.com and also #SABCNews, #Coronavirus, #COVID19, #COVID-19News on Social Media.",sabc news;actuality;world news;local news;coronavirus;covid-19;covid-19 lockdown;covid-19 news;nonkululeko gobodo;clicks,News & Politics,society;television_program,967,hd,FALSE,na,en,https://i.ytimg.com/vi/dGDBWhcPTuI/maxresdefault.jpg,na,na,6457,47,0,54,yes,yes,yes,no
39,714,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,l7uNl6qGezo,https://www.youtube.com/watch?v=l7uNl6qGezo,2020-09-07T11:45:12Z,2020-09-07 11:45:12,2020,9,7,Concerned consumer Rehana Khan Parker says Clicks' advertisement promotes racial stereotypes,"Rehana Khan Parker, who is a concerned consumer says the discriminatory advertisement by Clicks promotes racial stereotypes. She joins Thami Ngubeni for more. Tune into Newzroom Afrika on DSTV channel 405 for more.",na,News & Politics,society;television_program,529,hd,FALSE,en,na,https://i.ytimg.com/vi/l7uNl6qGezo/maxresdefault.jpg,na,na,2683,31,0,14,yes,yes,yes,no
82,812,UCQMML3hAsx-Mz9j9ZN0tThQ,Newzroom Afrika,vDu0w0k2M0w,https://www.youtube.com/watch?v=vDu0w0k2M0w,2020-09-07T19:06:27Z,2020-09-07 19:06:27,2020,9,7,SACCAWU calls for the protection of Clicks' employees during and after the protests,"With the EFF shutting down #Clicks stores, SACCAWU is calling for the protection of the retailer's employees during and after the protests. For more on this, Thabo Mdluli speaks to SACCAWU Spokesperson, Lucas Ramatlhodi. Tune into Newzroom Afrika, DSTV channel 405 for more. #Newzroom405",na,News & Politics,society;television_program,413,hd,FALSE,en,na,https://i.ytimg.com/vi/vDu0w0k2M0w/maxresdefault.jpg,na,na,862,10,0,12,yes,yes,yes,no
87,688,UCI3RT5PGmdi1KVp9FG_CneA,eNCA,Ra0hdT2gsxU,https://www.youtube.com/watch?v=Ra0hdT2gsxU,2020-09-07T14:20:04Z,2020-09-07 14:20:04,2020,9,7,Discussion | Political and Social Analyst talks on Clicks,"Clicks is the latest retailer to face backlash over racially charged advertising. Tessa Dooms, Political and Social Analyst speaks to eNCA. Courtesy #DStv403",na,News & Politics,society;television_program,470,hd,FALSE,en,en,https://i.ytimg.com/vi/Ra0hdT2gsxU/maxresdefault.jpg,1,na,8752,81,0,na,yes,yes,yes,no
94,707,UC42zupOELomcKAqqE-Dj4Zw,What are we doing here?,YuNvfobgv50,https://www.youtube.com/watch?v=YuNvfobgv50,2020-09-13T18:59:59Z,2020-09-13 18:59:59,2020,9,13,"Clicks Hair Advert, EFF, Cricket SA, Cyril Ramaphosa's Economic Plan and PRASA: South African News","Join Comedians Sam Thomas and Dustin Moore as the take a funny look at each week's biggest South Africa news. In this week's South Africa news, they cover the Clicks Hair Advert, EFF and Julius Malema, Cyril Ramaphosa's economic recovery plan for South Africafollowing months of lockdown and ANC corruption, The continued meltdown at CricketSA and last Railway theft at PRASA. Subscribe to keep up with all the latest South African news with each week's episode of ""What Are We Doing Here"".",sa news;sa news today;anc corruption;loadshedding;south africa news;south african youtubers;south africa news channel;south africa anc corruption;south african anc corruption;anc corruption youtube;eskom news load shedding;anc corruption 2020;sourth african news comedy;daily show south africa;cyril ramaphosa;eskom news;clicks advert;clicks hair advert;eff;julius malema;clicks advert eff;south african news;sa cricket;mzanzi news;what are we doing here,Comedy,society;television_program,337,hd,FALSE,na,en-GB,https://i.ytimg.com/vi/YuNvfobgv50/maxresdefault.jpg,na,Johannesburg,497,19,0,7,yes,yes,yes,yes
193,815,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2teqoyPe3TU,https://www.youtube.com/watch?v=2teqoyPe3TU,2020-07-26T11:40:57Z,2020-07-26 11:40:57,2020,7,26,"Mammy, Jezebel and Sapphire: Stereotyping Black women in media | The Listening Post (Feature)","The Mammy, Jezebel and Sapphire are three stereotypes of Black women that have been around in Western culture for centuries. These simplistic depictions are rooted in the slave trade and live on today. Faced with an entertainment industry that is dominated by men - mostly white - Black women have gone online to tell their stories. And all the clicks and likes mean that media executives are finally starting to take notice. The Listening Post's Johanna Hoes reports on the media's stereotyping of Black women and the push for change in an industry where diversity has been too long in coming. Contributors: Kovie Biakolo - Culture writer and multiculturalism scholar Francesca Sobande - Lecturer of Digital Media Studies, Cardiff University Naeemah Clark - Professor of Cinema and Television Arts, Elon University and author, Diversity in US Mass Media Babirye Bukilwa - Actor and playwright",black women stereotypes;racism;stereotypes;tv;black stereotypes;television;sexism;film;media;representation;women,News & Politics,society;television_program,549,hd,FALSE,na,na,https://i.ytimg.com/vi/2teqoyPe3TU/maxresdefault.jpg,1,na,113704,3022,0,422,no,no,yes,no
254,835,UCgDipoO5CftWW8h3bKxYb1g,Zenobia,kNY2WcKwxPg,https://www.youtube.com/watch?v=kNY2WcKwxPg,2020-09-08T14:05:48Z,2020-09-08 14:05:48,2020,9,8,WATCH : CLICKS DECIDES TO PULL ALL TRESSEME PRODUCTS FROM THEIR SHELVES COURT GRANT CLICKS INTERDICT,na,na,People & Blogs,society;television_program,137,sd,FALSE,na,na,na,na,na,11,0,0,0,yes,yes,yes,no
293,778,UCpvN33iaDUxWG7wB3soBtGA,Tshepo Matseba APR,fvoGNoiNu4c,https://www.youtube.com/watch?v=fvoGNoiNu4c,2020-09-07T14:50:31Z,2020-09-07 14:50:31,2020,9,7,Clicks Group's reputational risk - Racism in Advertising.,"MD of Reputation 1st Group, Tshepo Matseba unpacks the reputational risk faced by Clicks Group",na,People & Blogs,society;television_program,462,hd,FALSE,na,en,na,na,na,620,2,0,0,yes,yes,yes,no
104,739,UCg3_ouPNOFSbjU_eYg4HslA,Jade Godbolt,f6jM-nbaW-s,https://www.youtube.com/watch?v=f6jM-nbaW-s,2022-01-27T17:34:57Z,2022-01-27 17:34:57,2022,1,27,WE MADE IT! #YoutubeBlack Voices Fund Creator Class of 2022,na,na,Howto & Style,na,43,hd,FALSE,en,en,https://i.ytimg.com/vi/f6jM-nbaW-s/maxresdefault.jpg,1,na,2416,125,0,14,no,no,yes,no
155,901,UC6cXVYTH6jgQ4BP25-9AcYQ,Fresh Trendz,Jy9wL0SEPGU,https://www.youtube.com/watch?v=Jy9wL0SEPGU,2020-09-07T22:11:12Z,2020-09-07 22:11:12,2020,9,7,Clicks Store Has Been Bombed,#Clicks #Dis-chem Subscribe to my channel to get more videos like this :https://bit.ly/3h2wSoc,julius malema;eff leader;clicks;dischem;clicks store under fire;clicks store has been petrol bombed;witbank;saveways center,Entertainment,na,109,hd,FALSE,na,en,https://i.ytimg.com/vi/Jy9wL0SEPGU/maxresdefault.jpg,1,na,130,1,0,0,yes,yes,yes,no
